,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1767430,1767431,300111000.0,SFO-2014TXLFDX540908,2014,2014-09-01,244,6,Railroad,1.0,B,33.09021,-102.378996,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1778367,1778368,300132000.0,SFO-2014MNDNR2014-234-026,2014,2014-05-27,147,9,Miscellaneous,0.1,A,47.38014241,-92.5426671,MN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1758342,1758343,300101000.0,SFO-2014AR-ARSUNI13448950,2014,2014-07-05,186,5,Debris Burning,10.0,C,33.07786,-92.60816,AR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1788650,1788651,300149000.0,SFO-2014CACDFSCU007304,2014,2014-11-28,332,13,Missing/Undefined,0.25,A,37.301733,-121.10275,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1752716,1752717,300094000.0,SFO-2014GAGAS-FY2014-Colquitt-029,2014,2014-03-14,73,5,Debris Burning,0.9,B,31.08819722,-83.74564167,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1779961,1779962,300134000.0,SFO-2014NY2401NY2401-2014-233628,2014,2014-03-16,75,9,Miscellaneous,0.1,A,40.6078,-73.7525,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1777642,1777643,300130000.0,SFO-2014NY3645NY3645-2014-116,2014,2014-04-06,96,9,Miscellaneous,0.5,B,41.4603,-74.0696,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1726057,1726058,300004000.0,FS-1524321,2014,2014-07-29,210,1,Lightning,2.3,B,40.11666667,-120.53416667,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1737349,1737350,300074000.0,SFO-2014FLFLS2014120307,2014,2014-05-31,151,1,Lightning,0.7,B,28.5512,-81.0365,FL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1749311,1749312,300090000.0,SFO-2014TNTNS14-H0036,2014,2014-01-25,25,5,Debris Burning,2.3,B,35.011866999999995,-86.39613299999999,TN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1770678,1770679,300116000.0,SFO-2014NCNCSNCST-026-20140025,2014,2014-07-07,188,7,Arson,4.0,B,34.9678,-78.98211666,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
